Year,AZ__PDSI,CA__PDSI,CO__PDSI,KS__PDSI,NV__PDSI,NM__PDSI,TX__PDSI,UT__PDSI,AZ__T,CA__T,CO__T,KS__T,NV__T,NM__T,TX__T,UT__T,AZ__dT,CA__dT,CO__dT,KS__dT,NV__dT,NM__dT,TX__dT,UT__dT,AZ__P,CA__P,CO__P,KS__P,NV__P,NM__P,TX__P,UT__P,AZ__dP,CA__dP,CO__dP,KS__dP,NV__dP,NM__dP,TX__dP,UT__dP
50,-1.214,1.795,-1.717,-0.60831,0.449,-1.643,-1.2461,1.165,14.78876,14.42083,6.9768,12.47442,9.08879,11.49704,18.4256,8.11308,1.09563,0.57585,1.29507,0.96565,1.09928,0.81866,0.28168,1.27846,286.85284,572.62347,329.4689,553.25909,206.95181,281.23752,587.08124,273.7814,13.38977,-4.84518,1.34498,-66.36396,5.46908,1.5222,-44.32043,14.49246
51,-1.252,0.889,-1.403,1.23706,-0.57,-1.411,-0.57788,-0.175,15.28415,14.89429,6.84876,12.42556,9.91733,11.76128,18.15923,9.05126,-0.53437,-0.15757,-0.51104,-0.16931,-0.40918,-0.72349,-0.3605,-0.7646,273.11444,488.03354,306.48337,598.32922,172.94768,354.2399,776.7348,212.60844,1.61853,177.82738,92.46802,366.56354,56.77768,-61.90622,74.28658,87.01723
52,-0.141,-1.008,2.541,2.0705,-2.512,1.539,2.55193,-2.051,15.35249,15.0913,6.45314,11.70258,9.15847,11.54403,18.04848,8.22393,-0.19142,-0.17914,0.29344,0.5736,-0.02655,0.08147,0.51184,0.02189,232.17491,390.1568,379.89417,723.12927,151.02213,298.40613,632.98059,218.84975,126.71078,117.38338,107.5555,18.57804,82.26295,115.73425,144.76767,104.81001
53,-5.011,-5.931,-2.74,-1.4492,-7.356,-3.159,1.45766,-7.374,16.54437,15.48817,7.90507,12.66031,10.36614,12.55815,18.46523,9.58578,-0.29753,-0.04927,0.19786,0.32956,0.02861,-0.1697,0.13997,0.28266,182.79237,477.96545,258.64124,570.79669,145.36671,288.97723,739.99738,196.9194,99.10056,26.26013,111.38068,135.78416,35.48498,6.91099,0.02028,67.91393
54,-0.955,-0.814,1.222,1.71778,-2.062,0.439,3.06367,-0.847,14.84472,15.00563,6.33903,11.41934,9.48552,11.51857,17.97216,8.13269,-0.50851,-0.25309,0.16215,0.88482,-0.27061,-0.1868,0.48798,-0.08566,213.70219,435.54987,362.37238,650.28778,143.72856,273.69308,592.30103,221.50987,188.09865,29.83037,151.27394,143.01224,98.99116,199.10521,311.50864,105.54486
55,-1.588,0.375,-0.757,0.02133,-1.693,-0.929,0.23392,-1.209,15.28546,14.93314,6.93197,12.04503,9.80282,11.68724,17.86519,8.99589,-0.584,-0.46894,-0.31093,0.35506,-0.59095,-0.28488,0.38732,-0.64442,268.21692,458.48352,306.35114,505.04117,155.20007,306.87744,694.44873,217.85223,104.57835,115.51756,153.64243,348.06375,100.97408,39.56151,55.35783,123.17989
56,-4.247,-4.671,-3.969,-0.3412,-4.429,-3.868,0.37376,-4.31,16.34277,15.39954,7.63619,11.95545,10.18981,12.67718,18.55227,9.24771,-0.94674,-0.65667,-0.36945,0.34324,-0.81095,-0.98601,-0.39886,-0.67894,180.95299,561.46185,295.48593,636.17151,185.65247,261.49271,638.96631,204.81586,129.80952,-167.98097,98.88874,93.6853,2.35293,98.29871,129.09378,93.42862
57,-2.806,0.138,-2,-1.56974,-2.549,-2.304,-1.80256,-1.611,15.95408,15.19288,7.71523,12.89602,9.8304,12.4205,18.83525,9.51166,-0.84077,-0.36171,-0.81658,-0.52069,-0.63397,-0.58583,-0.16047,-0.94975,209.40953,397.202,336.38098,514.19568,146.24774,223.29085,540.25934,224.24524,119.42612,371.53827,65.34917,71.16309,80.09618,70.06647,-2.18266,87.93623
58,0.67,1.008,1.855,-1.0631,-0.803,1.279,-2.33794,-0.238,14.89603,14.50543,6.47939,11.81519,9.07042,11.22976,17.8262,8.04598,0.6111,0.11419,0.58434,0.44939,0.36006,0.64123,0.46433,0.67928,293.04233,540.44049,389.35138,698.30878,204.74753,313.10837,703.00458,268.94562,66.11895,68.37004,17.70502,-48.31803,6.48012,96.56789,-0.52916,-10.46507
59,0.401,-0.074,0.434,1.15319,-0.555,0.407,1.53683,-0.106,15.06133,14.79947,6.67765,11.90953,9.6122,11.63196,17.9815,8.29184,-0.50616,-0.14397,0.29735,0.68152,-0.13269,-0.2218,0.2572,0.04618,217.87509,499.76071,412.0625,728.96826,166.08548,319.41339,678.22705,231.8968,226.46687,186.06514,114.28525,118.87903,128.29285,264.11456,277.17975,171.76544
